Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.02,Crown,Hardcover,342,2006,2006,,2025/10/06,to-read,to-read (#157),to-read,,,,0,0,"2025-10-15,2025-10-21",Horror|7465;Fiction|5836;Zombies|3397;Science Fiction|3087;Sci Fi|2806;Fantasy|1475;Post Apocalyptic|1311;Dystopia|1138;Dystopian|1101;Zombie|954;Books I Own|931;Audiobooks|911;Scifi|575;Apocalyptic|554;War|529;Audio|504;Apocalypse|420;Book Club|417;Thriller|388;Sci Fi Fantasy|387,562445
228185703,Breakneck: China's Quest to Engineer the Future,Dan Wang,"Wang, Dan",,"=""1324106042""","=""9781324106043""",0,4.27,W. W. Norton & Company,Kindle Edition,275,2025,,,2025/09/29,to-read,to-read (#156),to-read,,,,0,0,,China|110;Non Fiction|79;Politics|68;Economics|46;History|39;Nonfiction|34;Business|30;Technology|12;Geopolitics|10;Tech|8;Economy|7;Next Up|6;Audiobooks|5;Asia|5;To Buy|5;Government|4;Journalism|4;Priority|3;Shortlist|3;East Asia|3,2040
188543465,The Trading Game: A Confession,Gary  Stevenson,"Stevenson, Gary",,"=""0593727215""","=""9780593727218""",0,4.14,Crown Currency,Hardcover,352,2024,2024,,2025/09/29,to-read,to-read (#155),to-read,,,,0,0,,Non Fiction|297;Finance|154;Economics|131;Business|103;Biography|95;Memoir|80;Nonfiction|69;Audiobooks|44;Trading|43;Politics|38;Memoirs|29;Investing|24;Economy|24;Biographies|22;To Buy|22;Money|22;2025 Books|19;Autobiography|19;Audible|17;Audio|14,18564
23515727,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",0,4.17,Vintage International,Paperback,309,2006,2005,,2025/07/18,currently-reading,currently-reading (#9),currently-reading,,,,1,0,,Fiction|4774;Thriller|1109;Western|878;Crime|810;Classics|565;Mystery|526;Literature|447;Books I Own|440;Novels|399;Literary Fiction|291;Contemporary|281;Westerns|278;Cormac Mccarthy|272;American|270;Audiobooks|255;To Buy|200;Book Club|198;Mystery Thriller|195;Novel|186;American Literature|185,241130
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",4,4.14,Ballantine Books,Paperback,415,2014,2012,2025/09/17,2025/07/23,,,read,,,,1,0,"2025-09-10,2025-09-17",Fiction|14938;Mystery|12880;Thriller|11374;Book Club|5205;Books I Own|4515;Mystery Thriller|4052;Crime|3445;Suspense|2691;Contemporary|2652;Adult|1950;Thrillers|1741;Audiobooks|1709;Adult Fiction|1272;Owned Books|1122;My Library|1070;Thriller Mystery|1057;Novels|1040;My Books|1005;Bookshelf|965;Audio|898,3402963
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446365386""","=""9780446365383""",0,4.31,Warner Books,Mass Market Paperback,1037,1993,1936,,2025/09/16,to-read,to-read (#154),to-read,,,,0,0,,Classics|17027;Historical Fiction|7598;Fiction|6661;Romance|3934;Classic|2855;Historical|1772;Books I Own|1491;War|742;Literature|729;Civil War|620;Historical Romance|574;Novels|568;History|546;To Buy|520;Pulitzer|504;All Time Favorites|467;Owned Books|411;1001 Books|404;Book Club|401;My Library|392,1251310
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2025/09/16,to-read,to-read (#153),to-read,,,,0,0,,Classics|64439;Fiction|29814;Classic|10433;Historical Fiction|9766;Books I Own|6842;School|6054;Literature|3785;Young Adult|3507;Historical|2590;Novels|2370;Book Club|2185;Owned Books|1970;School Books|1926;High School|1766;For School|1704;My Library|1650;All Time Favorites|1628;Coming Of Age|1522;Banned Books|1499;To Buy|1403,6784122
8650,"The Lost World (Jurassic Park, #2)",Michael Crichton,"Crichton, Michael",,"=""0752224417""","=""9780752224411""",2,3.87,"Alfred A. Knopf, Inc.",Mass Market Paperback,448,1995,1995,2025/09/09,2025/09/08,,,read,,,,1,0,"2025-09-04,2025-09-09",Science Fiction|2800;Fiction|2690;Sci Fi|2367;Thriller|1198;Books I Own|663;Adventure|516;Michael Crichton|472;Horror|451;Scifi|406;Fantasy|375;Dinosaurs|312;Series|276;Owned Books|221;My Library|217;Sci Fi Fantasy|180;Audiobooks|164;Suspense|157;My Books|151;Crichton|145;Novels|145,177956
15823386,The China Choice: Why America Should Share Power,Hugh  White,"White, Hugh",,"=""""","=""""",0,3.87,,Kindle Edition,,,2012,,2025/09/09,to-read,to-read (#152),to-read,,,,0,0,,China|21;Politics|6;Nonfiction|5;United States|4;Australia|3;Non Fiction|3;Foreign Policy|3;International Relations|3;Usa|2;International Affairs|2;History|2;Asia Pacific|2;Geopolitics|2;History And Politics|2;Thesis|2;Reference|1;1 Ioe|1;Z_Cover|1;Z_Not On Libby|1;Buy|1,127
44299583,How to Defend Australia,Hugh  White,"White, Hugh",,"=""1743820976""","=""9781743820971""",0,4.20,La Trobe University Press,Kindle Edition,343,2019,,,2025/09/09,to-read,to-read (#151),to-read,,,,0,0,,Politics|9;Australia|7;Non Fiction|5;War|5;International Relations|3;Security|3;Military|3;Defence|3;China|3;Australian Politics|2;Nonfiction|2;Zz Fully Tagged 2023|1;War And Strategic Studies|1;2024 2028|1;Nonfiction And Special Interest|1;Statecraft|1;Physical Edition|1;The World|1;Current Affairs|1;Australia Studies|1,276
53328329,"Heavy Light: A Journey Through Madness, Mania and Healing",Horatio Clare,"Clare, Horatio",,"=""1784743526""","=""9781784743529""",4,4.24,Chatto & Windus,Hardcover,368,2021,,2024/11/29,2024/03/04,growing,growing (#16),read,,,,1,0,"2024-11-17,2024-11-29",Non Fiction|14;Psychology|8;Mental Health|7;Memoir|6;Nonfiction|5;Biography|3;Memoir Biography|3;Health|2;Biography Memoir|2;2022 Books|1;Zp 2021 A 04|1;Nature Mountains Travel|1;Book Group|1;Work Books|1;Work|1;Dad|1;Non Fiction Nuances|1;Selfrealizationre<Br/>Vised|1;Normal|1;Not In Library|1,335
35066358,The First Fifteen Lives of Harry August,Claire North,"North, Claire",,"=""""","=""""",0,4.03,Redhook,Kindle Edition,417,2014,2014,,2025/08/25,to-read,to-read (#150),to-read,,,,0,0,,Science Fiction|1890;Fiction|1792;Sci Fi|1767;Fantasy|1423;Time Travel|1117;Book Club|504;Historical Fiction|397;Scifi|325;Audiobooks|308;Books I Own|280;Audible|257;Abandoned|224;Adult|191;Audio|187;To Buy|176;Sci Fi Fantasy|146;Thriller|145;Mystery|124;Speculative Fiction|114;Sf|110,98050
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,"=""0143131842""","=""9780143131847""",3,3.90,Penguin Classics,Paperback,260,2018,1818,2025/08/25,2025/08/19,,,read,,,,1,0,"2025-08-17,2025-08-25",Classics|45465;Horror|15532;Fiction|14691;Science Fiction|7080;Classic|6868;Sci Fi|5795;Books I Own|4994;Gothic|4955;Fantasy|3431;School|3092;Literature|2341;Owned Books|1544;Book Club|1420;Novels|1391;My Library|1284;Audiobooks|1238;19Th Century|1156;Classic Literature|1088;For School|1078;Dark Academia|1010,1821289
223854881,What We Can Know,Ian McEwan,"McEwan, Ian",,"=""0593804724""","=""9780593804728""",0,3.96,Knopf,Hardcover,320,2025,2025,,2025/08/20,to-read,to-read (#149),to-read,,,,0,0,,Fiction|330;Science Fiction|100;Sci Fi|92;Dystopian|69;Dystopia|65;Literary Fiction|58;2025 Releases|55;Fantasy|41;To Buy|32;Giveaways|30;Speculative Fiction|28;Audiobooks|27;Scifi|25;Arc|25;Audio|24;Historical Fiction|24;Literary|21;Novels|20;Adult|20;2025 Books|18,5553
128518,"The Second Jungle Book (Jungle Book, #2)",Rudyard Kipling,"Kipling, Rudyard",,"=""140694632X""","=""9781406946321""",4,3.78,Doubleday,Paperback,142,2006,1895,2025/08/17,2025/08/17,,,read,,,,1,0,"2025-08-14,2025-08-17",Classics|236;Fiction|135;Short Stories|52;Fantasy|52;Childrens|52;Classic|47;Adventure|45;Animals|42;Books I Own|35;Children|33;India|27;Children S|16;Children S Books|15;Audio_Wanted|14;Literature|13;Childrens Books|13;Audiobooks|11;Owned Books|11;My Library|10;Young Adult|10,4306
77270,"The Jungle Book (Jungle Book, #1)",Rudyard Kipling,"Kipling, Rudyard",,"=""0812504690""","=""9780812504699""",4,3.90,Tor Classics ,Mass Market Paperback,277,1992,1894,2025/08/14,2025/08/17,,,read,,,,1,0,"2025-08-12,2025-08-14",Classics|4285;Fiction|1710;Childrens|819;Fantasy|764;Classic|749;Books I Own|597;Children|537;Adventure|465;Short Stories|348;Animals|319;Children S|309;Children S Books|284;Young Adult|252;Kids|242;India|213;My Library|210;Literature|207;Owned Books|203;Audiobooks|190;Childhood|187,131880
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",5,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,2025/07/13,2024/04/29,audiobook,audiobook (#6),read,narrated tom stechschulte,,,1,0,"2025-07-10,2025-07-13",Fiction|13693;Science Fiction|3624;Dystopian|3454;Dystopia|3136;Sci Fi|2702;Classics|2575;Post Apocalyptic|2547;Horror|2473;Books I Own|1812;Book Club|1126;Literature|1091;Pulitzer|1076;Novels|1076;Apocalyptic|749;Literary Fiction|723;Contemporary|706;Pulitzer Prize|635;Audiobooks|602;Owned Books|596;Apocalypse|526,1020033
3540181,The Miracle of Purun Bhagat (Creative's Classics),Rudyard Kipling,"Kipling, Rudyard",,"=""0886820529""","=""9780886820527""",4,3.62,Creative Co,Library Binding,40,1986,1977,,2025/08/17,,,read,,,,1,0,,Fiction|2;Favorites Ninth Tier|1;Nobel|1;3 P 4A S B Geek Optimize Geekiness|1;Alit|1;Audiobooks|1;Adult|1;Short Stories And Essays|1;Poetry|1;Animals|1;Want|1;Audio Books|1;Audio_Wanted|1;Z_Fiction|1;X_Shortstory|1;W_Uk_Geo Vic|1;Fantasy|1;Bookaday 2012|1;2015 Audio Book Done|1;Req Sophomore|1,42
